"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","ADP","playerid"
"Michael Feliz","Pirates","5","4","3.25","0","45","0","48.0","33","17","5","69","19","1.08","12.94","3.56","2.95","0.9","648.2","11903"
"Mark Melancon","Giants","2","2","2.95","0","67","32","67.0","59","22","6","65","12","1.06","8.73","1.61","2.96","1.0","179.8","4264"
"Corey Kluber","Indians","17","7","2.98","31","31","0","209.0","167","69","22","242","48","1.03","10.42","2.07","2.97","6.4","13.4","2429"
"Raisel Iglesias","Reds","5","4","2.75","0","65","39","72.0","57","22","6","82","24","1.13","10.25","3.00","3.05","1.1","97.7","17130"
"Aaron Nola","Phillies","14","9","3.39","30","30","0","191.0","168","72","18","209","51","1.15","9.85","2.40","3.07","5.0","60.6","16149"
"Lance McCullers Jr.","Astros","11","7","3.53","25","25","0","140.0","120","55","11","160","52","1.23","10.29","3.34","3.11","3.5","134.3","14120"
"Max Scherzer","Nationals","17","7","2.85","32","32","0","211.0","160","67","26","262","55","1.02","11.18","2.35","3.14","5.8","10.0","3137"
"Juan Nicasio","Mariners","4","3","2.85","0","63","4","76.0","69","24","7","80","21","1.18","9.47","2.49","3.16","1.1","437.1","7731"
"Luiz Gohara","Braves","10","8","3.69","24","24","0","133.0","112","55","11","140","44","1.17","9.47","2.98","3.21","3.6","297.7","15166"
"Jameson Taillon","Pirates","11","8","3.67","29","29","0","173.0","161","70","15","170","47","1.20","8.84","2.45","3.22","4.2","180.6","11674"
"David Price","Red Sox","14","7","3.32","28","28","0","176.0","158","65","18","177","40","1.13","9.05","2.05","3.23","5.2","102.6","3184"
"Jake McGee","Rockies","2","3","3.75","0","63","0","63.0","54","26","6","66","18","1.14","9.43","2.57","3.25","1.3","539.3","7550"
"Carlos Carrasco","Indians","14","7","3.38","29","29","0","179.0","155","67","21","199","44","1.11","10.01","2.21","3.26","4.8","35.3","6632"
"Jon Gray","Rockies","14","7","3.63","30","30","0","178.0","163","72","18","192","52","1.21","9.71","2.63","3.28","5.5","162.4","14916"
"Edwin Diaz","Mariners","4","4","2.90","0","63","38","63.0","46","20","8","88","25","1.13","12.57","3.57","3.30","1.0","88.8","14710"
"Jose Quintana","Cubs","15","8","3.53","32","32","0","200.0","178","78","21","209","53","1.16","9.41","2.39","3.30","4.9","67.6","11423"
"Luis Severino","Yankees","14","7","3.34","30","30","0","186.0","154","69","22","215","53","1.11","10.40","2.56","3.32","4.8","31.9","15890"
"Luke Weaver","Cardinals","12","8","3.65","29","29","0","161.0","137","65","17","174","46","1.14","9.73","2.57","3.32","3.5","108.0","16918"
"Garrett Richards","Angels","10","7","3.25","23","23","0","135.0","115","49","11","128","42","1.16","8.53","2.80","3.34","3.1","162.0","9784"
"Jacob deGrom","Mets","14","9","3.30","31","31","0","196.0","170","72","23","215","52","1.13","9.87","2.39","3.36","4.1","34.5","10954"
"Addison Reed","Twins","3","2","2.95","0","71","9","75.0","67","25","9","79","17","1.12","9.48","2.04","3.37","1.1","274.9","10586"
"Fernando Rodney","Athletics","3","5","3.65","0","59","25","56.0","44","23","4","65","27","1.27","10.45","4.34","3.37","0.8","220.4","494"
"Arodys Vizcaino","Braves","3","3","3.25","0","63","34","63.0","52","23","6","71","24","1.21","10.14","3.43","3.38","0.8","149.9","5498"
"Alex Wood","Dodgers","13","6","3.29","25","25","0","143.0","128","52","14","140","40","1.17","8.81","2.52","3.40","2.9","114.5","13781"
"Madison Bumgarner","Giants","16","9","2.86","32","32","0","213.0","186","68","26","217","45","1.08","9.17","1.90","3.40","4.7","45.0","5524"
